"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1700","BACON ST","0.07148034","Class III","SANTA MONICA AV","SARATOGA AV","2","SS-003344",""
"1701","SCRIPPS RANCH BL","0.09691933","Class II","FARMINGDALE ST","WEATHERHILL WY","5","SS-024541","SS-024541"
"1702","MIRA MESA BL","0.07216781","Class III","I-805 SB ON RA","I-805 NB OFF RA","6","SS-018390","SS-018390"
"1703","03RD AV","0.08635589","Class III","ROBINSON AV","UNIVERSITY AV","3","SS-000068","SS-000068"
"1704","MISSION BL","0.07103305","Class III","THOMAS AV","GRAND AV","1","SS-018505",""
"1705","DEL MAR HEIGHTS RD","0.03223287","Class III","NOGALES DR","CREST WY","1","SS-008966","SS-008966"
"1706","BERNARDO CENTER DR","0.21680838","Class II","CAM CRISALIDA","AVNDA ABEJA","5","SS-004061","SS-004061"
"1707","CLAIREMONT DR","0.09414829","Class II","GILA AV","FEATHER AV","2","SS-007254",""
"1708","ANDORRA WY PATH","0.04752469","Class I","ANDORRA WY","CTE RAPOSO","5","No Segment ID","No IAMFLOC ID"
"1709","OCEAN FRONT WK","0.02394618","Class I","SUNSET CT","TANGIERS CT","2","SS-032044","SS-032044"
"1710","LADERA ST","0.06253094","Class III","CORNISH DR","CORDOVA ST","2","SS-015724","SS-015724"
"1711","AVNDA MAGNIFICA","0.20150163","Class III","LAKE GROVE CT","MAYWIND CT","5","SS-003198","SS-003198"
"1712","ISLAND AV","0.05227309","Class III","HOITT ST","29TH ST","8","SS-014292",""
"1713","GENESEE AV","0.14328843","Class II","REGENTS RD","CAMPUS POINT DR","6","SS-012020","SS-012020"
"1714","ADAMS AV","0.06118480","Class III","36TH ST","CHEROKEE AV","9","SS-001720",""
"1715","B ST","0.05265290","Class III","10TH AV","11TH AV","3","SS-003296",""
"1716","SAN DIEGO AV","0.07385951","Class II","WRIGHT ST","BANDINI ST","3","SS-024021","SS-024021"
"1717","PACIFIC HY","0.00163820","Class II","PACIFIC HY SB OFF RA","KURTZ ST","2","SS-020897",""
"1718","CLAIREMONT DR","0.50897973","Class II","LAKEHURST AV","CLAIREMONT DR","2","SS-007308","SS-007308"
"1719","EL CAJON BL","0.07253811","Class III","LOUISIANA ST","TEXAS ST","3","SS-009999",""
"1720","QUALCOMM WY","0.02200803","Class II","FRIARS RD RA","FRIARS RD","3","SS-022468","SS-022468"
"1721","SCRIPPS LAKE DR","0.03731258","Class II","ARBOR PARK PL","BROOKTREE TR","5","SS-024527","SS-024527"
"1722","GENESEE AV","0.14882966","Class II","APRIL CT","RADCLIFFE LN","6","SS-012004","SS-012004"
"1723","SPORTS ARENA BL","0.02168850","Class II","CAM DEL RIO WEST","ROSECRANS (FTG) ST","2","SS-031318",""
"1724","RANCHO CARMEL DR","0.10247475","Class II","INNOVATION DR","CARMEL MTN RD","5","SS-022691",""
"1725","30TH ST","0.06773811","Class III","J ST","ISLAND AV","9","SS-000687",""
"1726","S WOODMAN ST","0.10292607","Class II","BRANDYWOOD ST","BULLOCK DR","4","SS-029689",""
"1727","ADAMS AV","0.03011423","Class III","ARIZONA ST","ARIZONA ST","3","SS-001736",""
