"objectid","2name","name","gis_acres","park_type","address","owner","source_id","source","source_dt","src_notes"
"818","CANYON HILLS OS","Canyon Hills Open Space","0.13346380","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"819","ROSE CANYON OS","Rose Canyon Open Space","2.25705690","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"820","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","0.47470965","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"821","OLD TROLLEY BARN PARK","Old Trolley Barn Park","0.32480888","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"822","OTAY VALLEY REGIONAL PARK","Otay Valley Regional Park","7.45850942","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"823","CANYON HILLS OS","Canyon Hills Open Space","0.10949346","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"824","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","321.54724092","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"825","CARMEL VALLEY OS","Carmel Valley Open Space","1.79116707","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"826","CREST CANYON OS PARK","Crest Canyon Open Space Park","4.06164010","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"827","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","2.22192030","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"828","LA ZANJA CANYON OS","La Zanja Canyon Open Space","0.20908480","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"829","CHOLLAS RADIO SYSTEM OS","Chollas Radio System Open Space","5.71939107","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"830","CANYON HILLS OS","Canyon Hills Open Space","0.11274512","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"831","SAN PASQUAL TRAILS OS","San Pasqual Trails Open Space","161.54234483","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"832","SWITZER OS","Switzer Open Space","0.14695315","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"833","UPTOWN OS","Uptown Open Space","0.50745634","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"834","KENSINGTON/COLLEGE OS","Kensington/College Open Space","0.20775466","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"835","PRESIDIO OS","Presidio Open Space","0.68216548","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"836","ALBATROSS CANYON OS","Albatross Canyon Open Space","0.12489000","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"837","SWITZER OS","Switzer Open Space","0.27818526","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"838","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","18.45134233","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"839","NORTH CITY WEST OS","North City West Open Space","16.40276717","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"840","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","40.66665800","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"841","CARROLL CANYON OS","Carroll Canyon Open Space","28.20320061","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"842","RADIO CANYON EXTENSION OS","Radio Canyon Extension Open Space","1.94197051","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"843","SCRIPPS MIRAMAR OS","Scripps Miramar Open Space","2.39195244","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"844","CANYON HILLS OS","Canyon Hills Open Space","46.63193647","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"845","TECOLOTE CANYON NATURAL OS PARK","Tecolote Canyon Natural Open Space Park","10.01620453","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"846","TORREY HILLS OS","Torrey Hills Open Space","3.77316234","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"847","DEL MAR MESA OS","Del Mar Mesa Open Space","33.11557765","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"848","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","8.00718384","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"849","CANYON HILLS OS","Canyon Hills Open Space","0.11605186","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"850","CANYON HILLS OS","Canyon Hills Open Space","0.11300505","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"851","MARIAN BEAR OS PARK","Marian Bear Open Space Park","36.40783363","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"852","SABRE SPRINGS OS","Sabre Springs Open Space","22.51868479","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"853","SCRIPPS MIRAMAR OS","Scripps Miramar Open Space","6.90483230","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"854","SORRENTO HILLS OS","Sorrento Hills Open Space","4.80005555","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"855","CARMEL VALLEY OS","Carmel Valley Open Space","0.67022615","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
