objectid,Park,alias,park_type,Location,Zip Code
303,William Bradley Park,William Bradley Park,Local,1587 Linda Vista Dr,92078
304,Cerro De Las Posas Park,Cerro De Las Posas Park,Local,1387 W Borden Rd,92069
305,Hollandia Park,Hollandia Park,Local,12 Mission Hills Ct,92069
307,Montiel Park,Montiel Park,Local,2290 Montiel Rd,92069
309,Mission Sports Park,Mission Sports Park,Local,931 Bailey Ct,92069
310,Helen Bougher Park,Helen Bougher Park,Local,1243 Borden Rd,92069
311,The Laurels Park,The Laurels Park,Local,950 Hawthorne Ct,92078
312,Discovery Hills Children'S Park,Discovery Hills Children'S Park,Local,Via Vera Cruz,92101
313,San Elijo Hills Mini Park,San Elijo Hills Mini Park,Local,Questhaven Rd,92078
314,Buelow Park,Buelow Park,Local,300 Autumn Dr,92069
315,Ridgeline Trailhead,Ridgeline Trailhead,Local,San Elijo Rd,92078
316,Connors Park,Connors Park,Local,320 W San Marcos Blvd,92069
317,Sunset Park,Sunset Park,Local,909 Puesta Del Sol,92107
318,Regency Hills Park,Regency Hills Park,Local,555 Calle Capistrano,92069
319,Senior Center Tot Lot,Senior Center Tot Lot,Local,111 Richmar Ave,92069
320,Civic Center Park,Civic Center Park,Local,3 Civic Center Dr,92101
321,Santa Fe Hills Park,Santa Fe Hills Park,Local,701 Via Barquero,92069
323,Quail Valley Park,Quail Valley Park,Local,775 Avenida Leon,92069
326,"King, Martin Luther Jr Park","King, Martin Luther Jr Park",Local,4300 Mesa Drive,92114
329,Scott Valley Park,Scott Valley Park,Local,1602 Willowhaven Rd,92024
330,Leo Mullen Sports Park,Leo Mullen Sports Park,Local,951 Via Cantebria,92024
331,Encinitas Community Park,Encinitas Community Park,Other,425 Santa Fe Dr,92024
332,Leucadia Roadside Park,Leucadia Roadside Park,Local,860 N Coast Highway 101,92024
333,Cottonwood Creek Park,Cottonwood Creek Park,Local,95 N Vulcan Ave,92024
334,Cardiff Sports Park,Cardiff Sports Park,Local,1661 Lake Dr,92024
340,Snedeker Property,Snedeker Property,Open Space,West Side Saxony / South La Costa,92024
346,San Elijo Park,San Elijo Park,Local,1105 Elfin Forest Rd,92078
347,Simmons Family Park,Simmons Family Park,Local,2180 Rocky Point Way,92078
350,Pebblestone Park,Pebblestone Park,Local,Glendale Ave,92069
356,Luz Duran Park,Luz Duran Park,Local,340 E Townsite Dr,92084
357,Wave Waterpark,Wave Waterpark,Local,101 Wave Dr,92083
358,Civic Center Park,Civic Center Park,Local,200 Civic Center Dr,92101
